,edad-actual,edad-morir,hijes-tenes,gestacion-aborto,gestacion-persona,genero-coincide,morir-cuerpo,morir-redes,miedo-propia,miedo-resto,muerte-experiencia,muerte-eutanasia,firstTime,hijes-gustaria,hijes-volveria
0,49,90,1,42,42,80,0,0,21,100,91,92,True,,100.0
1,36,100,0,22,42,100,90,28,17,80,23,100,True,51.0,
2,39,91,1,14,14,87,100,0,62,76,37,100,True,,52.0
3,24,80,0,12,42,76,0,0,100,100,74,100,True,79.0,
4,24,83,0,16,37,100,0,0,16,91,79,88,True,71.0,
5,41,75,0,12,41,100,0,0,51,100,48,100,True,0.0,
6,34,89,1,20,31,100,0,2,68,79,71,100,True,,100.0
7,31,85,0,32,42,77,0,64,64,100,36,100,True,59.0,
8,21,100,0,20,28,39,50,75,14,100,100,0,True,100.0,
9,48,55,1,0,0,100,0,0,0,57,37,56,True,,100.0
10,43,79,0,13,42,71,0,0,0,0,0,100,True,0.0,
11,29,130,0,20,42,100,0,0,100,100,0,100,True,0.0,
12,30,93,0,12,1,100,100,1,1,100,100,100,True,50.0,
13,27,99,0,42,42,100,66,32,66,100,38,74,True,59.0,
14,34,80,0,20,42,77,0,0,23,40,0,100,True,100.0,
15,30,99,0,42,42,76,0,0,27,76,0,100,True,50.0,
16,28,90,0,12,12,100,0,0,72,80,50,79,True,100.0,
17,16,84,0,5,6,48,0,100,16,100,75,100,True,0.0,
18,26,75,0,32,42,86,0,74,20,89,2,88,True,25.0,
19,32,75,0,12,32,100,16,0,0,78,79,100,True,0.0,
20,16,100,0,23,42,57,9,3,13,81,55,54,True,34.0,
21,26,130,0,16,16,100,0,0,27,100,73,100,True,0.0,
22,47,109,1,8,42,100,0,0,57,82,0,98,True,,24.0
23,31,88,0,12,36,100,88,100,89,100,90,89,True,0.0,
24,31,91,0,6,22,100,47,67,21,66,13,100,True,63.0,
25,26,80,0,16,24,97,100,11,10,98,60,72,True,69.0,
26,18,97,0,16,18,100,100,100,20,100,87,100,True,47.0,
27,26,84,0,14,42,100,65,37,100,100,100,100,True,100.0,
28,55,91,1,42,42,100,0,0,51,100,0,100,True,,100.0
29,34,92,0,8,0,100,0,0,61,83,0,100,True,100.0,
30,21,130,0,25,42,100,68,1,72,100,39,91,True,30.0,
31,33,65,0,10,42,100,0,0,0,84,0,100,True,17.0,
32,27,115,0,9,23,100,0,74,100,83,76,100,True,0.0,
33,24,80,0,3,23,100,0,0,46,99,0,53,True,0.0,
34,31,76,0,12,12,99,8,8,74,75,2,98,True,84.0,
35,30,91,0,22,27,100,41,47,55,76,83,66,True,99.0,
36,23,130,0,42,42,100,100,0,100,100,52,100,True,50.0,
37,27,90,0,9,25,100,28,31,100,92,69,88,True,69.0,
38,25,66,0,42,42,100,27,79,22,32,0,100,True,32.0,
39,30,95,0,20,42,100,20,9,86,71,0,100,True,60.0,
40,25,92,0,14,20,100,0,2,69,100,65,100,True,79.0,
41,22,100,0,12,42,100,73,0,100,100,100,100,True,28.0,
42,22,75,0,42,23,74,35,68,49,82,15,100,True,32.0,
43,27,130,0,32,4,24,0,0,100,100,56,100,True,68.0,
44,17,96,0,16,42,100,100,0,9,88,52,100,True,100.0,
45,27,70,0,30,0,89,62,0,22,74,0,99,True,0.0,
46,22,130,0,34,35,25,0,19,73,27,0,83,True,82.0,
47,24,40,0,20,32,88,0,100,0,100,60,100,True,15.0,
48,32,91,0,8,8,72,0,0,68,79,0,100,True,97.0,
49,38,90,1,8,0,100,0,0,33,87,68,67,True,,100.0
50,26,103,0,12,29,100,71,67,59,62,89,100,True,0.0,
51,25,50,0,21,42,100,0,100,100,100,62,100,True,0.0,
52,27,89,0,21,16,100,71,16,54,68,21,78,True,7.0,
53,20,130,0,16,42,100,66,8,0,93,55,100,True,13.0,
54,25,110,0,0,0,100,0,0,100,84,35,75,True,59.0,
55,30,60,0,12,1,100,100,100,0,100,74,100,True,0.0,
56,27,85,0,14,42,86,58,0,100,100,28,100,True,100.0,
57,48,89,1,16,40,100,16,0,82,94,54,100,True,,100.0
58,21,90,0,14,42,100,0,0,50,100,98,100,True,100.0,
59,34,89,0,24,42,100,0,100,50,49,29,100,True,35.0,
60,17,80,0,15,42,100,69,0,84,100,0,100,True,27.0,
61,21,81,0,14,29,95,55,43,20,100,19,49,True,54.0,
62,20,82,0,1,42,94,61,0,67,0,18,100,True,45.0,
63,25,90,0,12,20,100,100,100,74,100,100,100,True,75.0,
